2024-12-07 20:45:12 | INFO | Saving logs to outputs/crossConcatLpdUnet2D_1/20241207_2045_logs.log...
2024-12-07 20:45:13 | INFO | Cross_Concat_LPD_Unet2D model loaded successfully!
2024-12-07 20:45:13 | INFO | crossConcatLpdUnet2D_1 - number of parameters: 22,792,048
2024-12-07 20:47:59 | DEBUG | 1/200 - batch 62/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:02 | DEBUG | 1/200 - batch 63/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:04 | DEBUG | 1/200 - batch 64/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:07 | DEBUG | 1/200 - batch 65/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:10 | DEBUG | 1/200 - batch 66/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:12 | DEBUG | 1/200 - batch 67/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:15 | DEBUG | 1/200 - batch 68/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:18 | DEBUG | 1/200 - batch 69/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:20 | DEBUG | 1/200 - batch 70/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:23 | DEBUG | 1/200 - batch 71/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:25 | DEBUG | 1/200 - batch 72/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:28 | DEBUG | 1/200 - batch 73/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:30 | DEBUG | 1/200 - batch 74/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:33 | DEBUG | 1/200 - batch 75/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:36 | DEBUG | 1/200 - batch 76/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:38 | DEBUG | 1/200 - batch 77/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:41 | DEBUG | 1/200 - batch 78/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:43 | DEBUG | 1/200 - batch 79/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:46 | DEBUG | 1/200 - batch 80/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:49 | DEBUG | 1/200 - batch 81/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:51 | DEBUG | 1/200 - batch 82/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:54 | DEBUG | 1/200 - batch 83/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:56 | DEBUG | 1/200 - batch 84/84 | VRAM: 42.16/47.53GB
2024-12-07 20:48:59 | INFO | 1/200 - loss 2.71e+00; PSNR 14.603; SSIM 0.104
2024-12-07 20:48:59 | DEBUG | 2/200 - batch 1/84 | VRAM: 12.45/47.53GB
2024-12-07 20:49:02 | DEBUG | 2/200 - batch 2/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:04 | DEBUG | 2/200 - batch 3/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:07 | DEBUG | 2/200 - batch 4/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:10 | DEBUG | 2/200 - batch 5/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:12 | DEBUG | 2/200 - batch 6/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:15 | DEBUG | 2/200 - batch 7/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:17 | DEBUG | 2/200 - batch 8/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:20 | DEBUG | 2/200 - batch 9/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:23 | DEBUG | 2/200 - batch 10/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:25 | DEBUG | 2/200 - batch 11/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:28 | DEBUG | 2/200 - batch 12/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:30 | DEBUG | 2/200 - batch 13/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:33 | DEBUG | 2/200 - batch 14/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:36 | DEBUG | 2/200 - batch 15/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:38 | DEBUG | 2/200 - batch 16/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:41 | DEBUG | 2/200 - batch 17/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:44 | DEBUG | 2/200 - batch 18/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:46 | DEBUG | 2/200 - batch 19/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:48 | DEBUG | 2/200 - batch 20/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:51 | DEBUG | 2/200 - batch 21/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:54 | DEBUG | 2/200 - batch 22/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:56 | DEBUG | 2/200 - batch 23/84 | VRAM: 43.70/47.53GB
2024-12-07 20:49:59 | DEBUG | 2/200 - batch 24/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:01 | DEBUG | 2/200 - batch 25/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:04 | DEBUG | 2/200 - batch 26/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:07 | DEBUG | 2/200 - batch 27/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:09 | DEBUG | 2/200 - batch 28/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:12 | DEBUG | 2/200 - batch 29/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:15 | DEBUG | 2/200 - batch 30/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:17 | DEBUG | 2/200 - batch 31/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:20 | DEBUG | 2/200 - batch 32/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:22 | DEBUG | 2/200 - batch 33/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:25 | DEBUG | 2/200 - batch 34/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:28 | DEBUG | 2/200 - batch 35/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:30 | DEBUG | 2/200 - batch 36/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:33 | DEBUG | 2/200 - batch 37/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:35 | DEBUG | 2/200 - batch 38/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:38 | DEBUG | 2/200 - batch 39/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:41 | DEBUG | 2/200 - batch 40/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:43 | DEBUG | 2/200 - batch 41/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:46 | DEBUG | 2/200 - batch 42/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:48 | DEBUG | 2/200 - batch 43/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:51 | DEBUG | 2/200 - batch 44/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:54 | DEBUG | 2/200 - batch 45/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:56 | DEBUG | 2/200 - batch 46/84 | VRAM: 43.70/47.53GB
2024-12-07 20:50:59 | DEBUG | 2/200 - batch 47/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:01 | DEBUG | 2/200 - batch 48/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:04 | DEBUG | 2/200 - batch 49/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:07 | DEBUG | 2/200 - batch 50/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:09 | DEBUG | 2/200 - batch 51/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:12 | DEBUG | 2/200 - batch 52/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:14 | DEBUG | 2/200 - batch 53/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:17 | DEBUG | 2/200 - batch 54/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:20 | DEBUG | 2/200 - batch 55/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:22 | DEBUG | 2/200 - batch 56/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:25 | DEBUG | 2/200 - batch 57/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:27 | DEBUG | 2/200 - batch 58/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:30 | DEBUG | 2/200 - batch 59/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:33 | DEBUG | 2/200 - batch 60/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:35 | DEBUG | 2/200 - batch 61/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:38 | DEBUG | 2/200 - batch 62/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:40 | DEBUG | 2/200 - batch 63/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:43 | DEBUG | 2/200 - batch 64/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:46 | DEBUG | 2/200 - batch 65/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:48 | DEBUG | 2/200 - batch 66/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:51 | DEBUG | 2/200 - batch 67/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:53 | DEBUG | 2/200 - batch 68/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:56 | DEBUG | 2/200 - batch 69/84 | VRAM: 43.70/47.53GB
2024-12-07 20:51:59 | DEBUG | 2/200 - batch 70/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:01 | DEBUG | 2/200 - batch 71/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:04 | DEBUG | 2/200 - batch 72/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:06 | DEBUG | 2/200 - batch 73/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:09 | DEBUG | 2/200 - batch 74/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:12 | DEBUG | 2/200 - batch 75/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:14 | DEBUG | 2/200 - batch 76/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:17 | DEBUG | 2/200 - batch 77/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:19 | DEBUG | 2/200 - batch 78/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:22 | DEBUG | 2/200 - batch 79/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:25 | DEBUG | 2/200 - batch 80/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:27 | DEBUG | 2/200 - batch 81/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:30 | DEBUG | 2/200 - batch 82/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:32 | DEBUG | 2/200 - batch 83/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:35 | DEBUG | 2/200 - batch 84/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:35 | INFO | 2/200 - loss 9.37e-01; PSNR 19.847; SSIM 0.361
2024-12-07 20:52:36 | DEBUG | 3/200 - batch 1/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:39 | DEBUG | 3/200 - batch 2/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:41 | DEBUG | 3/200 - batch 3/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:44 | DEBUG | 3/200 - batch 4/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:47 | DEBUG | 3/200 - batch 5/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:49 | DEBUG | 3/200 - batch 6/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:52 | DEBUG | 3/200 - batch 7/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:55 | DEBUG | 3/200 - batch 8/84 | VRAM: 43.70/47.53GB
2024-12-07 20:52:57 | DEBUG | 3/200 - batch 9/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:00 | DEBUG | 3/200 - batch 10/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:03 | DEBUG | 3/200 - batch 11/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:05 | DEBUG | 3/200 - batch 12/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:08 | DEBUG | 3/200 - batch 13/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:11 | DEBUG | 3/200 - batch 14/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:13 | DEBUG | 3/200 - batch 15/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:16 | DEBUG | 3/200 - batch 16/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:19 | DEBUG | 3/200 - batch 17/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:22 | DEBUG | 3/200 - batch 18/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:24 | DEBUG | 3/200 - batch 19/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:27 | DEBUG | 3/200 - batch 20/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:30 | DEBUG | 3/200 - batch 21/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:33 | DEBUG | 3/200 - batch 22/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:35 | DEBUG | 3/200 - batch 23/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:38 | DEBUG | 3/200 - batch 24/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:41 | DEBUG | 3/200 - batch 25/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:44 | DEBUG | 3/200 - batch 26/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:46 | DEBUG | 3/200 - batch 27/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:49 | DEBUG | 3/200 - batch 28/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:52 | DEBUG | 3/200 - batch 29/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:54 | DEBUG | 3/200 - batch 30/84 | VRAM: 43.70/47.53GB
2024-12-07 20:53:57 | DEBUG | 3/200 - batch 31/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:00 | DEBUG | 3/200 - batch 32/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:03 | DEBUG | 3/200 - batch 33/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:05 | DEBUG | 3/200 - batch 34/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:08 | DEBUG | 3/200 - batch 35/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:11 | DEBUG | 3/200 - batch 36/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:14 | DEBUG | 3/200 - batch 37/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:16 | DEBUG | 3/200 - batch 38/84 | VRAM: 43.70/47.53GB
2024-12-07 20:54:19 | DEBUG | 3/200 - batch 39/84 | VRAM: 43.70/47.53GB
