2024-12-08 22:38:19 | INFO | Saving logs to outputs/crossConcatLpdUnet2D_1/20241208_2238_logs.log...
2024-12-08 22:38:20 | INFO | Cross_Concat_LPD_Unet2D model loaded successfully!
2024-12-08 22:38:21 | INFO | crossConcatLpdUnet2D_1 - number of parameters: 22,792,048
2024-12-08 22:38:22 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.29/47.53GB
2024-12-08 22:38:28 | DEBUG | 1/200 - batch 2/84 | VRAM: 34.67/47.53GB
2024-12-08 22:38:31 | DEBUG | 1/200 - batch 3/84 | VRAM: 41.64/47.53GB
2024-12-08 22:38:33 | DEBUG | 1/200 - batch 4/84 | VRAM: 42.13/47.53GB
2024-12-08 22:38:36 | DEBUG | 1/200 - batch 5/84 | VRAM: 42.13/47.53GB
2024-12-08 22:38:38 | DEBUG | 1/200 - batch 6/84 | VRAM: 42.13/47.53GB
2024-12-08 22:38:41 | DEBUG | 1/200 - batch 7/84 | VRAM: 42.13/47.53GB
2024-12-08 22:38:43 | DEBUG | 1/200 - batch 8/84 | VRAM: 42.13/47.53GB
2024-12-08 22:38:46 | DEBUG | 1/200 - batch 9/84 | VRAM: 42.15/47.53GB
2024-12-08 22:38:49 | DEBUG | 1/200 - batch 10/84 | VRAM: 42.17/47.53GB
2024-12-08 22:38:51 | DEBUG | 1/200 - batch 11/84 | VRAM: 42.17/47.53GB
2024-12-08 22:38:54 | DEBUG | 1/200 - batch 12/84 | VRAM: 42.17/47.53GB
2024-12-08 22:38:57 | DEBUG | 1/200 - batch 13/84 | VRAM: 42.17/47.53GB
2024-12-08 22:38:59 | DEBUG | 1/200 - batch 14/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:02 | DEBUG | 1/200 - batch 15/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:04 | DEBUG | 1/200 - batch 16/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:07 | DEBUG | 1/200 - batch 17/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:10 | DEBUG | 1/200 - batch 18/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:12 | DEBUG | 1/200 - batch 19/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:15 | DEBUG | 1/200 - batch 20/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:17 | DEBUG | 1/200 - batch 21/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:20 | DEBUG | 1/200 - batch 22/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:23 | DEBUG | 1/200 - batch 23/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:25 | DEBUG | 1/200 - batch 24/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:28 | DEBUG | 1/200 - batch 25/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:31 | DEBUG | 1/200 - batch 26/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:33 | DEBUG | 1/200 - batch 27/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:36 | DEBUG | 1/200 - batch 28/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:38 | DEBUG | 1/200 - batch 29/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:41 | DEBUG | 1/200 - batch 30/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:44 | DEBUG | 1/200 - batch 31/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:46 | DEBUG | 1/200 - batch 32/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:49 | DEBUG | 1/200 - batch 33/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:51 | DEBUG | 1/200 - batch 34/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:54 | DEBUG | 1/200 - batch 35/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:56 | DEBUG | 1/200 - batch 36/84 | VRAM: 42.17/47.53GB
2024-12-08 22:39:59 | DEBUG | 1/200 - batch 37/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:01 | DEBUG | 1/200 - batch 38/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:04 | DEBUG | 1/200 - batch 39/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:07 | DEBUG | 1/200 - batch 40/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:09 | DEBUG | 1/200 - batch 41/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:12 | DEBUG | 1/200 - batch 42/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:14 | DEBUG | 1/200 - batch 43/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:17 | DEBUG | 1/200 - batch 44/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:20 | DEBUG | 1/200 - batch 45/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:22 | DEBUG | 1/200 - batch 46/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:25 | DEBUG | 1/200 - batch 47/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:27 | DEBUG | 1/200 - batch 48/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:30 | DEBUG | 1/200 - batch 49/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:33 | DEBUG | 1/200 - batch 50/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:36 | DEBUG | 1/200 - batch 51/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:38 | DEBUG | 1/200 - batch 52/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:41 | DEBUG | 1/200 - batch 53/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:44 | DEBUG | 1/200 - batch 54/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:46 | DEBUG | 1/200 - batch 55/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:49 | DEBUG | 1/200 - batch 56/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:52 | DEBUG | 1/200 - batch 57/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:55 | DEBUG | 1/200 - batch 58/84 | VRAM: 42.17/47.53GB
2024-12-08 22:40:57 | DEBUG | 1/200 - batch 59/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:00 | DEBUG | 1/200 - batch 60/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:03 | DEBUG | 1/200 - batch 61/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:06 | DEBUG | 1/200 - batch 62/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:08 | DEBUG | 1/200 - batch 63/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:11 | DEBUG | 1/200 - batch 64/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:14 | DEBUG | 1/200 - batch 65/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:17 | DEBUG | 1/200 - batch 66/84 | VRAM: 42.17/47.53GB
2024-12-08 22:41:20 | DEBUG | 1/200 - batch 67/84 | VRAM: 42.17/47.53GB
