2024-12-08 09:35:43 | INFO | Saving logs to outputs/crossConcatLpdUnet2D_1/20241208_0935_logs.log...
2024-12-08 09:35:44 | INFO | Cross_Concat_LPD_Unet2D model loaded successfully!
2024-12-08 09:35:44 | INFO | crossConcatLpdUnet2D_1 - number of parameters: 22,792,048
2024-12-08 09:35:45 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.26/47.53GB
2024-12-08 09:35:51 | DEBUG | 1/200 - batch 2/84 | VRAM: 34.67/47.53GB
2024-12-08 09:35:54 | DEBUG | 1/200 - batch 3/84 | VRAM: 41.60/47.53GB
2024-12-08 09:35:57 | DEBUG | 1/200 - batch 4/84 | VRAM: 42.09/47.53GB
2024-12-08 09:35:59 | DEBUG | 1/200 - batch 5/84 | VRAM: 42.09/47.53GB
2024-12-08 09:36:02 | DEBUG | 1/200 - batch 6/84 | VRAM: 42.09/47.53GB
2024-12-08 09:36:05 | DEBUG | 1/200 - batch 7/84 | VRAM: 42.09/47.53GB
2024-12-08 09:36:08 | DEBUG | 1/200 - batch 8/84 | VRAM: 42.09/47.53GB
2024-12-08 09:36:11 | DEBUG | 1/200 - batch 9/84 | VRAM: 42.12/47.53GB
2024-12-08 09:36:13 | DEBUG | 1/200 - batch 10/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:16 | DEBUG | 1/200 - batch 11/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:19 | DEBUG | 1/200 - batch 12/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:22 | DEBUG | 1/200 - batch 13/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:25 | DEBUG | 1/200 - batch 14/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:27 | DEBUG | 1/200 - batch 15/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:30 | DEBUG | 1/200 - batch 16/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:33 | DEBUG | 1/200 - batch 17/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:35 | DEBUG | 1/200 - batch 18/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:38 | DEBUG | 1/200 - batch 19/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:41 | DEBUG | 1/200 - batch 20/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:44 | DEBUG | 1/200 - batch 21/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:46 | DEBUG | 1/200 - batch 22/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:49 | DEBUG | 1/200 - batch 23/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:52 | DEBUG | 1/200 - batch 24/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:55 | DEBUG | 1/200 - batch 25/84 | VRAM: 42.13/47.53GB
2024-12-08 09:36:58 | DEBUG | 1/200 - batch 26/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:00 | DEBUG | 1/200 - batch 27/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:03 | DEBUG | 1/200 - batch 28/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:06 | DEBUG | 1/200 - batch 29/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:09 | DEBUG | 1/200 - batch 30/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:12 | DEBUG | 1/200 - batch 31/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:15 | DEBUG | 1/200 - batch 32/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:17 | DEBUG | 1/200 - batch 33/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:20 | DEBUG | 1/200 - batch 34/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:23 | DEBUG | 1/200 - batch 35/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:26 | DEBUG | 1/200 - batch 36/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:29 | DEBUG | 1/200 - batch 37/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:31 | DEBUG | 1/200 - batch 38/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:34 | DEBUG | 1/200 - batch 39/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:37 | DEBUG | 1/200 - batch 40/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:40 | DEBUG | 1/200 - batch 41/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:43 | DEBUG | 1/200 - batch 42/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:45 | DEBUG | 1/200 - batch 43/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:48 | DEBUG | 1/200 - batch 44/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:51 | DEBUG | 1/200 - batch 45/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:54 | DEBUG | 1/200 - batch 46/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:56 | DEBUG | 1/200 - batch 47/84 | VRAM: 42.13/47.53GB
2024-12-08 09:37:59 | DEBUG | 1/200 - batch 48/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:02 | DEBUG | 1/200 - batch 49/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:05 | DEBUG | 1/200 - batch 50/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:08 | DEBUG | 1/200 - batch 51/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:10 | DEBUG | 1/200 - batch 52/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:13 | DEBUG | 1/200 - batch 53/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:16 | DEBUG | 1/200 - batch 54/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:19 | DEBUG | 1/200 - batch 55/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:21 | DEBUG | 1/200 - batch 56/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:24 | DEBUG | 1/200 - batch 57/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:27 | DEBUG | 1/200 - batch 58/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:30 | DEBUG | 1/200 - batch 59/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:32 | DEBUG | 1/200 - batch 60/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:35 | DEBUG | 1/200 - batch 61/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:38 | DEBUG | 1/200 - batch 62/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:41 | DEBUG | 1/200 - batch 63/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:44 | DEBUG | 1/200 - batch 64/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:46 | DEBUG | 1/200 - batch 65/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:49 | DEBUG | 1/200 - batch 66/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:52 | DEBUG | 1/200 - batch 67/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:55 | DEBUG | 1/200 - batch 68/84 | VRAM: 42.13/47.53GB
2024-12-08 09:38:57 | DEBUG | 1/200 - batch 69/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:00 | DEBUG | 1/200 - batch 70/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:03 | DEBUG | 1/200 - batch 71/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:06 | DEBUG | 1/200 - batch 72/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:08 | DEBUG | 1/200 - batch 73/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:11 | DEBUG | 1/200 - batch 74/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:14 | DEBUG | 1/200 - batch 75/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:17 | DEBUG | 1/200 - batch 76/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:19 | DEBUG | 1/200 - batch 77/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:22 | DEBUG | 1/200 - batch 78/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:25 | DEBUG | 1/200 - batch 79/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:28 | DEBUG | 1/200 - batch 80/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:31 | DEBUG | 1/200 - batch 81/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:33 | DEBUG | 1/200 - batch 82/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:36 | DEBUG | 1/200 - batch 83/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:39 | DEBUG | 1/200 - batch 84/84 | VRAM: 42.13/47.53GB
2024-12-08 09:39:41 | INFO | 1/200 - loss 2.53e+00; PSNR 14.952; SSIM 0.100
2024-12-08 09:39:42 | DEBUG | 2/200 - batch 1/84 | VRAM: 12.55/47.53GB
