2024-12-07 16:32:24 | INFO | Saving logs to outputs/crossImageLpdUnet2D_1/20241207_1632_logs.log...
2024-12-07 16:32:25 | INFO | Cross_Image_LPD_Unet2D model loaded successfully!
2024-12-07 16:32:25 | INFO | crossImageLpdUnet2D_1 - number of parameters: 12,946,314
2024-12-07 16:34:11 | DEBUG | 1/200 - batch 62/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:12 | DEBUG | 1/200 - batch 63/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:14 | DEBUG | 1/200 - batch 64/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:15 | DEBUG | 1/200 - batch 65/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:17 | DEBUG | 1/200 - batch 66/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:19 | DEBUG | 1/200 - batch 67/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:20 | DEBUG | 1/200 - batch 68/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:22 | DEBUG | 1/200 - batch 69/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:24 | DEBUG | 1/200 - batch 70/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:25 | DEBUG | 1/200 - batch 71/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:27 | DEBUG | 1/200 - batch 72/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:28 | DEBUG | 1/200 - batch 73/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:30 | DEBUG | 1/200 - batch 74/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:32 | DEBUG | 1/200 - batch 75/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:33 | DEBUG | 1/200 - batch 76/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:35 | DEBUG | 1/200 - batch 77/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:37 | DEBUG | 1/200 - batch 78/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:38 | DEBUG | 1/200 - batch 79/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:40 | DEBUG | 1/200 - batch 80/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:42 | DEBUG | 1/200 - batch 81/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:43 | DEBUG | 1/200 - batch 82/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:45 | DEBUG | 1/200 - batch 83/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:46 | DEBUG | 1/200 - batch 84/84 | VRAM: 26.22/47.53GB
2024-12-07 16:34:49 | INFO | 1/200 - loss 2.43e+00; PSNR 14.980; SSIM 0.087
2024-12-07 16:34:49 | DEBUG | 2/200 - batch 1/84 | VRAM: 2.05/47.53GB
2024-12-07 16:34:51 | DEBUG | 2/200 - batch 2/84 | VRAM: 26.21/47.53GB
2024-12-07 16:34:53 | DEBUG | 2/200 - batch 3/84 | VRAM: 26.33/47.53GB
2024-12-07 16:34:54 | DEBUG | 2/200 - batch 4/84 | VRAM: 26.33/47.53GB
2024-12-07 16:34:56 | DEBUG | 2/200 - batch 5/84 | VRAM: 26.33/47.53GB
2024-12-07 16:34:57 | DEBUG | 2/200 - batch 6/84 | VRAM: 26.33/47.53GB
2024-12-07 16:34:59 | DEBUG | 2/200 - batch 7/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:01 | DEBUG | 2/200 - batch 8/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:02 | DEBUG | 2/200 - batch 9/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:04 | DEBUG | 2/200 - batch 10/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:05 | DEBUG | 2/200 - batch 11/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:07 | DEBUG | 2/200 - batch 12/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:09 | DEBUG | 2/200 - batch 13/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:10 | DEBUG | 2/200 - batch 14/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:12 | DEBUG | 2/200 - batch 15/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:13 | DEBUG | 2/200 - batch 16/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:15 | DEBUG | 2/200 - batch 17/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:17 | DEBUG | 2/200 - batch 18/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:18 | DEBUG | 2/200 - batch 19/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:20 | DEBUG | 2/200 - batch 20/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:21 | DEBUG | 2/200 - batch 21/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:23 | DEBUG | 2/200 - batch 22/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:25 | DEBUG | 2/200 - batch 23/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:26 | DEBUG | 2/200 - batch 24/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:28 | DEBUG | 2/200 - batch 25/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:29 | DEBUG | 2/200 - batch 26/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:31 | DEBUG | 2/200 - batch 27/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:33 | DEBUG | 2/200 - batch 28/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:35 | DEBUG | 2/200 - batch 29/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:36 | DEBUG | 2/200 - batch 30/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:38 | DEBUG | 2/200 - batch 31/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:39 | DEBUG | 2/200 - batch 32/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:41 | DEBUG | 2/200 - batch 33/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:43 | DEBUG | 2/200 - batch 34/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:44 | DEBUG | 2/200 - batch 35/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:46 | DEBUG | 2/200 - batch 36/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:48 | DEBUG | 2/200 - batch 37/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:49 | DEBUG | 2/200 - batch 38/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:51 | DEBUG | 2/200 - batch 39/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:53 | DEBUG | 2/200 - batch 40/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:54 | DEBUG | 2/200 - batch 41/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:56 | DEBUG | 2/200 - batch 42/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:58 | DEBUG | 2/200 - batch 43/84 | VRAM: 26.33/47.53GB
2024-12-07 16:35:59 | DEBUG | 2/200 - batch 44/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:01 | DEBUG | 2/200 - batch 45/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:02 | DEBUG | 2/200 - batch 46/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:04 | DEBUG | 2/200 - batch 47/84 | VRAM: 26.33/47.53GB
2024-12-07 16:36:06 | DEBUG | 2/200 - batch 48/84 | VRAM: 26.33/47.53GB
