2024-12-07 01:36:17 | INFO | Saving logs to outputs/crossImageLpdUnet2D_1/20241207_0136_logs.log...
2024-12-07 01:36:18 | INFO | Cross_Image_LPD_Unet2D model loaded successfully!
2024-12-07 01:36:18 | INFO | crossImageLpdUnet2D_1 - number of parameters: 12,946,314
2024-12-07 01:36:19 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.13/47.53GB
2024-12-07 01:36:26 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.44/47.53GB
2024-12-07 01:36:27 | DEBUG | 1/200 - batch 3/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:29 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:31 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:32 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:34 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:36 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:37 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:39 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:41 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:42 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:44 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:45 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:47 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:49 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:50 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:52 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:53 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:55 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:56 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.20/47.53GB
2024-12-07 01:36:58 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:00 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:01 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:03 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:04 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:06 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:08 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:09 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:11 | DEBUG | 1/200 - batch 30/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:12 | DEBUG | 1/200 - batch 31/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:14 | DEBUG | 1/200 - batch 32/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:16 | DEBUG | 1/200 - batch 33/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:17 | DEBUG | 1/200 - batch 34/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:19 | DEBUG | 1/200 - batch 35/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:20 | DEBUG | 1/200 - batch 36/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:22 | DEBUG | 1/200 - batch 37/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:24 | DEBUG | 1/200 - batch 38/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:25 | DEBUG | 1/200 - batch 39/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:27 | DEBUG | 1/200 - batch 40/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:28 | DEBUG | 1/200 - batch 41/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:30 | DEBUG | 1/200 - batch 42/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:32 | DEBUG | 1/200 - batch 43/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:33 | DEBUG | 1/200 - batch 44/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:35 | DEBUG | 1/200 - batch 45/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:36 | DEBUG | 1/200 - batch 46/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:38 | DEBUG | 1/200 - batch 47/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:40 | DEBUG | 1/200 - batch 48/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:41 | DEBUG | 1/200 - batch 49/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:43 | DEBUG | 1/200 - batch 50/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:44 | DEBUG | 1/200 - batch 51/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:46 | DEBUG | 1/200 - batch 52/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:47 | DEBUG | 1/200 - batch 53/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:49 | DEBUG | 1/200 - batch 54/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:51 | DEBUG | 1/200 - batch 55/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:52 | DEBUG | 1/200 - batch 56/84 | VRAM: 26.20/47.53GB
2024-12-07 01:37:54 | DEBUG | 1/200 - batch 57/84 | VRAM: 26.20/47.53GB
