2024-12-02 23:33:20 | INFO | Saving logs to outputs/lpdUnet3D_1/20241202_2333_logs.log...
2024-12-02 23:33:21 | INFO | LPD_Unet3D model loaded successfully!
2024-12-02 23:33:21 | INFO | lpdUnet3D_1 - number of parameters: 38,527,686
2024-12-02 23:33:22 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.65/47.53GB
2024-12-02 23:33:36 | DEBUG | 1/200 - batch 2/84 | VRAM: 5.78/47.53GB
2024-12-02 23:33:39 | DEBUG | 1/200 - batch 3/84 | VRAM: 30.85/47.53GB
2024-12-02 23:33:41 | DEBUG | 1/200 - batch 4/84 | VRAM: 30.85/47.53GB
2024-12-02 23:33:44 | DEBUG | 1/200 - batch 5/84 | VRAM: 30.85/47.53GB
2024-12-02 23:33:46 | DEBUG | 1/200 - batch 6/84 | VRAM: 30.85/47.53GB
2024-12-02 23:33:48 | DEBUG | 1/200 - batch 7/84 | VRAM: 30.85/47.53GB
2024-12-02 23:33:50 | DEBUG | 1/200 - batch 8/84 | VRAM: 30.85/47.53GB
2024-12-02 23:33:52 | DEBUG | 1/200 - batch 9/84 | VRAM: 30.92/47.53GB
2024-12-02 23:33:54 | DEBUG | 1/200 - batch 10/84 | VRAM: 30.92/47.53GB
2024-12-02 23:33:57 | DEBUG | 1/200 - batch 11/84 | VRAM: 30.92/47.53GB
2024-12-02 23:33:59 | DEBUG | 1/200 - batch 12/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:01 | DEBUG | 1/200 - batch 13/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:03 | DEBUG | 1/200 - batch 14/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:05 | DEBUG | 1/200 - batch 15/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:07 | DEBUG | 1/200 - batch 16/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:09 | DEBUG | 1/200 - batch 17/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:12 | DEBUG | 1/200 - batch 18/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:14 | DEBUG | 1/200 - batch 19/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:16 | DEBUG | 1/200 - batch 20/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:19 | DEBUG | 1/200 - batch 21/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:21 | DEBUG | 1/200 - batch 22/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:24 | DEBUG | 1/200 - batch 23/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:26 | DEBUG | 1/200 - batch 24/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:29 | DEBUG | 1/200 - batch 25/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:31 | DEBUG | 1/200 - batch 26/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:34 | DEBUG | 1/200 - batch 27/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:36 | DEBUG | 1/200 - batch 28/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:39 | DEBUG | 1/200 - batch 29/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:41 | DEBUG | 1/200 - batch 30/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:44 | DEBUG | 1/200 - batch 31/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:46 | DEBUG | 1/200 - batch 32/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:49 | DEBUG | 1/200 - batch 33/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:51 | DEBUG | 1/200 - batch 34/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:53 | DEBUG | 1/200 - batch 35/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:55 | DEBUG | 1/200 - batch 36/84 | VRAM: 30.92/47.53GB
2024-12-02 23:34:57 | DEBUG | 1/200 - batch 37/84 | VRAM: 30.92/47.53GB
2024-12-02 23:35:00 | DEBUG | 1/200 - batch 38/84 | VRAM: 30.92/47.53GB
2024-12-02 23:35:02 | DEBUG | 1/200 - batch 39/84 | VRAM: 30.92/47.53GB
2024-12-02 23:35:04 | DEBUG | 1/200 - batch 40/84 | VRAM: 30.92/47.53GB
