2024-11-29 09:26:42 | INFO | Saving logs to outputs/lpdUnet3D_1/20241129_0926_logs.log...
2024-11-29 09:26:43 | INFO | LPD_Unet3D model loaded successfully!
2024-11-29 09:26:44 | INFO | lpdUnet3D_1 - number of parameters: 38,527,686
2024-11-29 09:26:45 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.35/47.53GB
2024-11-29 09:26:55 | DEBUG | 1/200 - batch 2/84 | VRAM: 6.77/47.53GB
2024-11-29 09:26:57 | DEBUG | 1/200 - batch 3/84 | VRAM: 30.88/47.53GB
2024-11-29 09:26:59 | DEBUG | 1/200 - batch 4/84 | VRAM: 30.88/47.53GB
2024-11-29 09:27:01 | DEBUG | 1/200 - batch 5/84 | VRAM: 30.88/47.53GB
2024-11-29 09:27:03 | DEBUG | 1/200 - batch 6/84 | VRAM: 30.88/47.53GB
2024-11-29 09:27:06 | DEBUG | 1/200 - batch 7/84 | VRAM: 30.88/47.53GB
2024-11-29 09:27:08 | DEBUG | 1/200 - batch 8/84 | VRAM: 30.88/47.53GB
2024-11-29 09:27:10 | DEBUG | 1/200 - batch 9/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:13 | DEBUG | 1/200 - batch 10/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:15 | DEBUG | 1/200 - batch 11/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:17 | DEBUG | 1/200 - batch 12/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:19 | DEBUG | 1/200 - batch 13/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:21 | DEBUG | 1/200 - batch 14/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:23 | DEBUG | 1/200 - batch 15/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:26 | DEBUG | 1/200 - batch 16/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:28 | DEBUG | 1/200 - batch 17/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:30 | DEBUG | 1/200 - batch 18/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:32 | DEBUG | 1/200 - batch 19/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:34 | DEBUG | 1/200 - batch 20/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:36 | DEBUG | 1/200 - batch 21/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:39 | DEBUG | 1/200 - batch 22/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:41 | DEBUG | 1/200 - batch 23/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:43 | DEBUG | 1/200 - batch 24/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:45 | DEBUG | 1/200 - batch 25/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:48 | DEBUG | 1/200 - batch 26/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:50 | DEBUG | 1/200 - batch 27/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:52 | DEBUG | 1/200 - batch 28/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:54 | DEBUG | 1/200 - batch 29/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:57 | DEBUG | 1/200 - batch 30/84 | VRAM: 30.96/47.53GB
2024-11-29 09:27:59 | DEBUG | 1/200 - batch 31/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:01 | DEBUG | 1/200 - batch 32/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:03 | DEBUG | 1/200 - batch 33/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:06 | DEBUG | 1/200 - batch 34/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:08 | DEBUG | 1/200 - batch 35/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:10 | DEBUG | 1/200 - batch 36/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:13 | DEBUG | 1/200 - batch 37/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:15 | DEBUG | 1/200 - batch 38/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:17 | DEBUG | 1/200 - batch 39/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:19 | DEBUG | 1/200 - batch 40/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:21 | DEBUG | 1/200 - batch 41/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:24 | DEBUG | 1/200 - batch 42/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:26 | DEBUG | 1/200 - batch 43/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:28 | DEBUG | 1/200 - batch 44/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:30 | DEBUG | 1/200 - batch 45/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:33 | DEBUG | 1/200 - batch 46/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:35 | DEBUG | 1/200 - batch 47/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:37 | DEBUG | 1/200 - batch 48/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:39 | DEBUG | 1/200 - batch 49/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:41 | DEBUG | 1/200 - batch 50/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:44 | DEBUG | 1/200 - batch 51/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:46 | DEBUG | 1/200 - batch 52/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:48 | DEBUG | 1/200 - batch 53/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:50 | DEBUG | 1/200 - batch 54/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:53 | DEBUG | 1/200 - batch 55/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:55 | DEBUG | 1/200 - batch 56/84 | VRAM: 30.96/47.53GB
2024-11-29 09:28:58 | DEBUG | 1/200 - batch 57/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:00 | DEBUG | 1/200 - batch 58/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:02 | DEBUG | 1/200 - batch 59/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:04 | DEBUG | 1/200 - batch 60/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:06 | DEBUG | 1/200 - batch 61/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:08 | DEBUG | 1/200 - batch 62/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:11 | DEBUG | 1/200 - batch 63/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:13 | DEBUG | 1/200 - batch 64/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:15 | DEBUG | 1/200 - batch 65/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:18 | DEBUG | 1/200 - batch 66/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:20 | DEBUG | 1/200 - batch 67/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:22 | DEBUG | 1/200 - batch 68/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:24 | DEBUG | 1/200 - batch 69/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:27 | DEBUG | 1/200 - batch 70/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:30 | DEBUG | 1/200 - batch 71/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:32 | DEBUG | 1/200 - batch 72/84 | VRAM: 30.96/47.53GB
2024-11-29 09:29:34 | DEBUG | 1/200 - batch 73/84 | VRAM: 30.96/47.53GB
