2024-11-25 16:32:26 | INFO | Saving logs to outputs/lpdUnet2D_5/20241125_1632_logs.log...
2024-11-25 16:32:27 | INFO | LPD_Unet2D model loaded successfully!
2024-11-25 16:32:27 | INFO | lpdUnet2D_5 - number of parameters: 12,862,278
2024-11-25 16:32:28 | DEBUG | 1/200 - batch 1/84 | VRAM: 0.93/47.53GB
2024-11-25 16:32:34 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.39/47.53GB
2024-11-25 16:32:36 | DEBUG | 1/200 - batch 3/84 | VRAM: 25.86/47.53GB
2024-11-25 16:32:38 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.59/47.53GB
2024-11-25 16:32:39 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.59/47.53GB
2024-11-25 16:32:41 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.59/47.53GB
2024-11-25 16:32:42 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.59/47.53GB
2024-11-25 16:32:44 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.59/47.53GB
2024-11-25 16:32:46 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.59/47.53GB
2024-11-25 16:32:47 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.63/47.53GB
2024-11-25 16:32:49 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.63/47.53GB
2024-11-25 16:32:51 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.63/47.53GB
2024-11-25 16:32:53 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.63/47.53GB
2024-11-25 16:32:54 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.63/47.53GB
2024-11-25 16:32:56 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.63/47.53GB
2024-11-25 16:32:58 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.63/47.53GB
2024-11-25 16:32:59 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.63/47.53GB
2024-11-25 16:33:01 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.63/47.53GB
2024-11-25 16:33:03 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.63/47.53GB
2024-11-25 16:33:05 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.63/47.53GB
2024-11-25 16:33:06 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.63/47.53GB
2024-11-25 16:33:08 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.63/47.53GB
2024-11-25 16:33:10 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.63/47.53GB
