2024-12-08 07:30:09 | INFO | Saving logs to outputs/lpdUnet2D_5/20241208_0730_logs.log...
2024-12-08 07:30:10 | INFO | LPD_Unet2D model loaded successfully!
2024-12-08 07:30:10 | INFO | lpdUnet2D_5 - number of parameters: 12,862,278
2024-12-08 07:30:11 | DEBUG | 1/200 - batch 1/84 | VRAM: 0.83/47.53GB
2024-12-08 07:30:18 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.74/47.53GB
2024-12-08 07:30:19 | DEBUG | 1/200 - batch 3/84 | VRAM: 17.78/47.53GB
2024-12-08 07:30:21 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.52/47.53GB
2024-12-08 07:30:23 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.52/47.53GB
2024-12-08 07:30:24 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.52/47.53GB
2024-12-08 07:30:26 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.52/47.53GB
2024-12-08 07:30:27 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.52/47.53GB
2024-12-08 07:30:29 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.52/47.53GB
2024-12-08 07:30:30 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:32 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:34 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:35 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:37 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:38 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:40 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:42 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.56/47.53GB
2024-12-08 07:30:43 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.56/47.53GB
