2024-12-02 14:37:10 | INFO | Saving logs to outputs/lpdUnet2D_5/20241202_1437_logs.log...
2024-12-02 14:37:11 | INFO | LPD_Unet2D model loaded successfully!
2024-12-02 14:37:12 | INFO | lpdUnet2D_5 - number of parameters: 12,862,278
2024-12-02 14:37:12 | DEBUG | 1/200 - batch 1/84 | VRAM: 0.92/47.53GB
2024-12-02 14:37:19 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.39/47.53GB
2024-12-02 14:37:21 | DEBUG | 1/200 - batch 3/84 | VRAM: 25.87/47.53GB
2024-12-02 14:37:23 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.56/47.53GB
2024-12-02 14:37:24 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.56/47.53GB
2024-12-02 14:37:26 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.56/47.53GB
2024-12-02 14:37:28 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.56/47.53GB
2024-12-02 14:37:30 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.56/47.53GB
2024-12-02 14:37:32 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.56/47.53GB
2024-12-02 14:37:33 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:35 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:37 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:39 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:40 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:42 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:44 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:45 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:47 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:49 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:50 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:52 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:54 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:56 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:57 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.60/47.53GB
2024-12-02 14:37:59 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:01 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:03 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:04 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:06 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:08 | DEBUG | 1/200 - batch 30/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:09 | DEBUG | 1/200 - batch 31/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:11 | DEBUG | 1/200 - batch 32/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:13 | DEBUG | 1/200 - batch 33/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:14 | DEBUG | 1/200 - batch 34/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:16 | DEBUG | 1/200 - batch 35/84 | VRAM: 26.60/47.53GB
2024-12-02 14:38:18 | DEBUG | 1/200 - batch 36/84 | VRAM: 26.60/47.53GB
