2024-11-25 08:14:53 | INFO | Saving logs to outputs/lpdUnet2D_4/20241125_0814_logs.log...
2024-11-25 08:14:53 | INFO | LPD_Unet2D model loaded successfully!
2024-11-25 08:14:54 | INFO | lpdUnet2D_4 - number of parameters: 12,862,278
2024-11-25 08:14:54 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.13/47.53GB
2024-11-25 08:15:00 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.92/47.53GB
2024-11-25 08:15:01 | DEBUG | 1/200 - batch 3/84 | VRAM: 25.88/47.53GB
2024-11-25 08:15:02 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.62/47.53GB
2024-11-25 08:15:04 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.62/47.53GB
2024-11-25 08:15:05 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.62/47.53GB
2024-11-25 08:15:06 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.62/47.53GB
2024-11-25 08:15:07 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.62/47.53GB
2024-11-25 08:15:09 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:10 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:11 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:13 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:14 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:15 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:17 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:18 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:19 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:20 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:22 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:23 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:24 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:26 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:27 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:28 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:30 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:31 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:32 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:34 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:35 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:36 | DEBUG | 1/200 - batch 30/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:37 | DEBUG | 1/200 - batch 31/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:39 | DEBUG | 1/200 - batch 32/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:40 | DEBUG | 1/200 - batch 33/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:41 | DEBUG | 1/200 - batch 34/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:43 | DEBUG | 1/200 - batch 35/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:44 | DEBUG | 1/200 - batch 36/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:45 | DEBUG | 1/200 - batch 37/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:47 | DEBUG | 1/200 - batch 38/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:48 | DEBUG | 1/200 - batch 39/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:49 | DEBUG | 1/200 - batch 40/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:51 | DEBUG | 1/200 - batch 41/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:52 | DEBUG | 1/200 - batch 42/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:53 | DEBUG | 1/200 - batch 43/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:54 | DEBUG | 1/200 - batch 44/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:56 | DEBUG | 1/200 - batch 45/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:57 | DEBUG | 1/200 - batch 46/84 | VRAM: 26.65/47.53GB
2024-11-25 08:15:58 | DEBUG | 1/200 - batch 47/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:00 | DEBUG | 1/200 - batch 48/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:01 | DEBUG | 1/200 - batch 49/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:02 | DEBUG | 1/200 - batch 50/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:04 | DEBUG | 1/200 - batch 51/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:05 | DEBUG | 1/200 - batch 52/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:06 | DEBUG | 1/200 - batch 53/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:08 | DEBUG | 1/200 - batch 54/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:09 | DEBUG | 1/200 - batch 55/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:10 | DEBUG | 1/200 - batch 56/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:12 | DEBUG | 1/200 - batch 57/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:13 | DEBUG | 1/200 - batch 58/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:14 | DEBUG | 1/200 - batch 59/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:16 | DEBUG | 1/200 - batch 60/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:17 | DEBUG | 1/200 - batch 61/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:18 | DEBUG | 1/200 - batch 62/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:20 | DEBUG | 1/200 - batch 63/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:21 | DEBUG | 1/200 - batch 64/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:22 | DEBUG | 1/200 - batch 65/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:24 | DEBUG | 1/200 - batch 66/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:25 | DEBUG | 1/200 - batch 67/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:26 | DEBUG | 1/200 - batch 68/84 | VRAM: 26.65/47.53GB
2024-11-25 08:16:28 | DEBUG | 1/200 - batch 69/84 | VRAM: 26.65/47.53GB
