2024-12-08 13:29:31 | INFO | Saving logs to outputs/lpdUnetTransformer2D_1/20241208_1329_logs.log...
2024-12-08 13:29:32 | INFO | 2D Unet Transformer LPD model loaded successfully!
2024-12-08 13:29:32 | INFO | lpdUnetTransformer2D_1 - number of parameters: 13,560,012
2024-12-08 13:29:33 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.12/47.53GB
2024-12-08 13:29:36 | DEBUG | 1/200 - batch 2/84 | VRAM: 5.12/47.53GB
2024-12-08 13:29:38 | DEBUG | 1/200 - batch 3/84 | VRAM: 19.46/47.53GB
2024-12-08 13:29:39 | DEBUG | 1/200 - batch 4/84 | VRAM: 19.46/47.53GB
2024-12-08 13:29:40 | DEBUG | 1/200 - batch 5/84 | VRAM: 19.46/47.53GB
2024-12-08 13:29:42 | DEBUG | 1/200 - batch 6/84 | VRAM: 19.50/47.53GB
2024-12-08 13:29:43 | DEBUG | 1/200 - batch 7/84 | VRAM: 19.50/47.53GB
2024-12-08 13:29:44 | DEBUG | 1/200 - batch 8/84 | VRAM: 19.50/47.53GB
2024-12-08 13:29:46 | DEBUG | 1/200 - batch 9/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:47 | DEBUG | 1/200 - batch 10/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:48 | DEBUG | 1/200 - batch 11/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:50 | DEBUG | 1/200 - batch 12/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:51 | DEBUG | 1/200 - batch 13/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:52 | DEBUG | 1/200 - batch 14/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:54 | DEBUG | 1/200 - batch 15/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:55 | DEBUG | 1/200 - batch 16/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:56 | DEBUG | 1/200 - batch 17/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:58 | DEBUG | 1/200 - batch 18/84 | VRAM: 19.51/47.53GB
2024-12-08 13:29:59 | DEBUG | 1/200 - batch 19/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:00 | DEBUG | 1/200 - batch 20/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:01 | DEBUG | 1/200 - batch 21/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:03 | DEBUG | 1/200 - batch 22/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:04 | DEBUG | 1/200 - batch 23/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:06 | DEBUG | 1/200 - batch 24/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:07 | DEBUG | 1/200 - batch 25/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:08 | DEBUG | 1/200 - batch 26/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:09 | DEBUG | 1/200 - batch 27/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:11 | DEBUG | 1/200 - batch 28/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:12 | DEBUG | 1/200 - batch 29/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:13 | DEBUG | 1/200 - batch 30/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:15 | DEBUG | 1/200 - batch 31/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:16 | DEBUG | 1/200 - batch 32/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:18 | DEBUG | 1/200 - batch 33/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:19 | DEBUG | 1/200 - batch 34/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:20 | DEBUG | 1/200 - batch 35/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:22 | DEBUG | 1/200 - batch 36/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:23 | DEBUG | 1/200 - batch 37/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:24 | DEBUG | 1/200 - batch 38/84 | VRAM: 19.51/47.53GB
2024-12-08 13:30:26 | DEBUG | 1/200 - batch 39/84 | VRAM: 19.51/47.53GB
