2024-12-09 13:14:30 | INFO | Saving logs to outputs/crossUpdateLpdUnet2D_1/20241209_1314_logs.log...
2024-12-09 13:14:32 | INFO | Cross_Update_LPD_Unet2D model loaded successfully!
2024-12-09 13:14:33 | INFO | crossUpdateLpdUnet2D_1 - number of parameters: 22,543,894
2024-12-09 13:16:55 | DEBUG | 1/200 - batch 62/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:57 | DEBUG | 1/200 - batch 63/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:59 | DEBUG | 1/200 - batch 64/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:01 | DEBUG | 1/200 - batch 65/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:04 | DEBUG | 1/200 - batch 66/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:06 | DEBUG | 1/200 - batch 67/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:08 | DEBUG | 1/200 - batch 68/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:10 | DEBUG | 1/200 - batch 69/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:13 | DEBUG | 1/200 - batch 70/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:15 | DEBUG | 1/200 - batch 71/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:17 | DEBUG | 1/200 - batch 72/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:19 | DEBUG | 1/200 - batch 73/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:22 | DEBUG | 1/200 - batch 74/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:24 | DEBUG | 1/200 - batch 75/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:26 | DEBUG | 1/200 - batch 76/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:28 | DEBUG | 1/200 - batch 77/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:31 | DEBUG | 1/200 - batch 78/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:33 | DEBUG | 1/200 - batch 79/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:35 | DEBUG | 1/200 - batch 80/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:38 | DEBUG | 1/200 - batch 81/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:40 | DEBUG | 1/200 - batch 82/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:42 | DEBUG | 1/200 - batch 83/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:44 | DEBUG | 1/200 - batch 84/84 | VRAM: 36.77/47.53GB
2024-12-09 13:17:47 | INFO | 1/200 - loss 2.35e+00; PSNR 15.118; SSIM 0.085
2024-12-09 13:17:47 | DEBUG | 2/200 - batch 1/84 | VRAM: 2.32/47.53GB
2024-12-09 13:17:49 | DEBUG | 2/200 - batch 2/84 | VRAM: 18.95/47.53GB
2024-12-09 13:17:52 | DEBUG | 2/200 - batch 3/84 | VRAM: 36.24/47.53GB
2024-12-09 13:17:54 | DEBUG | 2/200 - batch 4/84 | VRAM: 36.54/47.53GB
2024-12-09 13:17:56 | DEBUG | 2/200 - batch 5/84 | VRAM: 36.54/47.53GB
2024-12-09 13:17:58 | DEBUG | 2/200 - batch 6/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:00 | DEBUG | 2/200 - batch 7/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:03 | DEBUG | 2/200 - batch 8/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:05 | DEBUG | 2/200 - batch 9/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:07 | DEBUG | 2/200 - batch 10/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:09 | DEBUG | 2/200 - batch 11/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:12 | DEBUG | 2/200 - batch 12/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:14 | DEBUG | 2/200 - batch 13/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:16 | DEBUG | 2/200 - batch 14/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:18 | DEBUG | 2/200 - batch 15/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:21 | DEBUG | 2/200 - batch 16/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:23 | DEBUG | 2/200 - batch 17/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:25 | DEBUG | 2/200 - batch 18/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:27 | DEBUG | 2/200 - batch 19/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:30 | DEBUG | 2/200 - batch 20/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:32 | DEBUG | 2/200 - batch 21/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:34 | DEBUG | 2/200 - batch 22/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:36 | DEBUG | 2/200 - batch 23/84 | VRAM: 36.54/47.53GB
2024-12-09 13:18:38 | DEBUG | 2/200 - batch 24/84 | VRAM: 36.54/47.53GB
