2024-12-09 13:21:31 | INFO | Saving logs to outputs/crossUpdateLpdUnet2D_1/20241209_1321_logs.log...
2024-12-09 13:21:32 | INFO | Cross_Update_LPD_Unet2D model loaded successfully!
2024-12-09 13:21:32 | INFO | crossUpdateLpdUnet2D_1 - number of parameters: 22,543,894
2024-12-09 13:21:33 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.29/47.53GB
2024-12-09 13:21:41 | DEBUG | 1/200 - batch 2/84 | VRAM: 4.41/47.53GB
2024-12-09 13:21:43 | DEBUG | 1/200 - batch 3/84 | VRAM: 35.56/47.53GB
2024-12-09 13:21:45 | DEBUG | 1/200 - batch 4/84 | VRAM: 36.15/47.53GB
2024-12-09 13:21:48 | DEBUG | 1/200 - batch 5/84 | VRAM: 36.46/47.53GB
2024-12-09 13:21:50 | DEBUG | 1/200 - batch 6/84 | VRAM: 36.75/47.53GB
2024-12-09 13:21:52 | DEBUG | 1/200 - batch 7/84 | VRAM: 36.75/47.53GB
2024-12-09 13:21:54 | DEBUG | 1/200 - batch 8/84 | VRAM: 36.75/47.53GB
2024-12-09 13:21:57 | DEBUG | 1/200 - batch 9/84 | VRAM: 36.82/47.53GB
2024-12-09 13:21:59 | DEBUG | 1/200 - batch 10/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:01 | DEBUG | 1/200 - batch 11/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:03 | DEBUG | 1/200 - batch 12/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:05 | DEBUG | 1/200 - batch 13/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:08 | DEBUG | 1/200 - batch 14/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:10 | DEBUG | 1/200 - batch 15/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:12 | DEBUG | 1/200 - batch 16/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:14 | DEBUG | 1/200 - batch 17/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:16 | DEBUG | 1/200 - batch 18/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:19 | DEBUG | 1/200 - batch 19/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:21 | DEBUG | 1/200 - batch 20/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:23 | DEBUG | 1/200 - batch 21/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:25 | DEBUG | 1/200 - batch 22/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:27 | DEBUG | 1/200 - batch 23/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:30 | DEBUG | 1/200 - batch 24/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:32 | DEBUG | 1/200 - batch 25/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:34 | DEBUG | 1/200 - batch 26/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:36 | DEBUG | 1/200 - batch 27/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:39 | DEBUG | 1/200 - batch 28/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:41 | DEBUG | 1/200 - batch 29/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:43 | DEBUG | 1/200 - batch 30/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:46 | DEBUG | 1/200 - batch 31/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:48 | DEBUG | 1/200 - batch 32/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:50 | DEBUG | 1/200 - batch 33/84 | VRAM: 36.82/47.53GB
2024-12-09 13:22:52 | DEBUG | 1/200 - batch 34/84 | VRAM: 36.82/47.53GB
