2024-12-07 18:32:01 | INFO | Saving logs to outputs/lpdUnet2D_3/20241207_1832_logs.log...
2024-12-07 18:32:02 | INFO | LPD_Unet2D model loaded successfully!
2024-12-07 18:32:02 | INFO | lpdUnet2D_3 - number of parameters: 12,862,278
2024-12-07 18:32:03 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.22/47.53GB
2024-12-07 18:32:09 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.74/47.53GB
2024-12-07 18:32:11 | DEBUG | 1/200 - batch 3/84 | VRAM: 25.78/47.53GB
2024-12-07 18:32:13 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.52/47.53GB
2024-12-07 18:32:14 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.52/47.53GB
2024-12-07 18:32:16 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.52/47.53GB
2024-12-07 18:32:17 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.52/47.53GB
2024-12-07 18:32:19 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.52/47.53GB
2024-12-07 18:32:20 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.52/47.53GB
2024-12-07 18:32:21 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:23 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:25 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:26 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:27 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:29 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:31 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:32 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:34 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:35 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:37 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:38 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:40 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:41 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:43 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:44 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:45 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:47 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:48 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:50 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:51 | DEBUG | 1/200 - batch 30/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:53 | DEBUG | 1/200 - batch 31/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:54 | DEBUG | 1/200 - batch 32/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:56 | DEBUG | 1/200 - batch 33/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:57 | DEBUG | 1/200 - batch 34/84 | VRAM: 26.56/47.53GB
2024-12-07 18:32:59 | DEBUG | 1/200 - batch 35/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:00 | DEBUG | 1/200 - batch 36/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:02 | DEBUG | 1/200 - batch 37/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:03 | DEBUG | 1/200 - batch 38/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:05 | DEBUG | 1/200 - batch 39/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:07 | DEBUG | 1/200 - batch 40/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:08 | DEBUG | 1/200 - batch 41/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:10 | DEBUG | 1/200 - batch 42/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:11 | DEBUG | 1/200 - batch 43/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:13 | DEBUG | 1/200 - batch 44/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:14 | DEBUG | 1/200 - batch 45/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:15 | DEBUG | 1/200 - batch 46/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:17 | DEBUG | 1/200 - batch 47/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:18 | DEBUG | 1/200 - batch 48/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:20 | DEBUG | 1/200 - batch 49/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:21 | DEBUG | 1/200 - batch 50/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:23 | DEBUG | 1/200 - batch 51/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:24 | DEBUG | 1/200 - batch 52/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:26 | DEBUG | 1/200 - batch 53/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:27 | DEBUG | 1/200 - batch 54/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:29 | DEBUG | 1/200 - batch 55/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:30 | DEBUG | 1/200 - batch 56/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:32 | DEBUG | 1/200 - batch 57/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:33 | DEBUG | 1/200 - batch 58/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:35 | DEBUG | 1/200 - batch 59/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:36 | DEBUG | 1/200 - batch 60/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:38 | DEBUG | 1/200 - batch 61/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:39 | DEBUG | 1/200 - batch 62/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:41 | DEBUG | 1/200 - batch 63/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:42 | DEBUG | 1/200 - batch 64/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:44 | DEBUG | 1/200 - batch 65/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:45 | DEBUG | 1/200 - batch 66/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:47 | DEBUG | 1/200 - batch 67/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:48 | DEBUG | 1/200 - batch 68/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:50 | DEBUG | 1/200 - batch 69/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:51 | DEBUG | 1/200 - batch 70/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:53 | DEBUG | 1/200 - batch 71/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:54 | DEBUG | 1/200 - batch 72/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:56 | DEBUG | 1/200 - batch 73/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:57 | DEBUG | 1/200 - batch 74/84 | VRAM: 26.56/47.53GB
2024-12-07 18:33:59 | DEBUG | 1/200 - batch 75/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:00 | DEBUG | 1/200 - batch 76/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:02 | DEBUG | 1/200 - batch 77/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:03 | DEBUG | 1/200 - batch 78/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:05 | DEBUG | 1/200 - batch 79/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:06 | DEBUG | 1/200 - batch 80/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:08 | DEBUG | 1/200 - batch 81/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:09 | DEBUG | 1/200 - batch 82/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:11 | DEBUG | 1/200 - batch 83/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:12 | DEBUG | 1/200 - batch 84/84 | VRAM: 26.56/47.53GB
2024-12-07 18:34:15 | INFO | 1/200 - loss 2.60e+00; PSNR 14.499; SSIM 0.107
2024-12-07 18:34:15 | DEBUG | 2/200 - batch 1/84 | VRAM: 1.92/47.53GB
2024-12-07 18:34:16 | DEBUG | 2/200 - batch 2/84 | VRAM: 17.81/47.53GB
2024-12-07 18:34:18 | DEBUG | 2/200 - batch 3/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:19 | DEBUG | 2/200 - batch 4/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:21 | DEBUG | 2/200 - batch 5/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:22 | DEBUG | 2/200 - batch 6/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:24 | DEBUG | 2/200 - batch 7/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:25 | DEBUG | 2/200 - batch 8/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:27 | DEBUG | 2/200 - batch 9/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:28 | DEBUG | 2/200 - batch 10/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:30 | DEBUG | 2/200 - batch 11/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:31 | DEBUG | 2/200 - batch 12/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:33 | DEBUG | 2/200 - batch 13/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:34 | DEBUG | 2/200 - batch 14/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:36 | DEBUG | 2/200 - batch 15/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:37 | DEBUG | 2/200 - batch 16/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:39 | DEBUG | 2/200 - batch 17/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:40 | DEBUG | 2/200 - batch 18/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:42 | DEBUG | 2/200 - batch 19/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:43 | DEBUG | 2/200 - batch 20/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:45 | DEBUG | 2/200 - batch 21/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:46 | DEBUG | 2/200 - batch 22/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:48 | DEBUG | 2/200 - batch 23/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:49 | DEBUG | 2/200 - batch 24/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:51 | DEBUG | 2/200 - batch 25/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:52 | DEBUG | 2/200 - batch 26/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:54 | DEBUG | 2/200 - batch 27/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:55 | DEBUG | 2/200 - batch 28/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:57 | DEBUG | 2/200 - batch 29/84 | VRAM: 26.54/47.53GB
2024-12-07 18:34:58 | DEBUG | 2/200 - batch 30/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:00 | DEBUG | 2/200 - batch 31/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:01 | DEBUG | 2/200 - batch 32/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:03 | DEBUG | 2/200 - batch 33/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:04 | DEBUG | 2/200 - batch 34/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:06 | DEBUG | 2/200 - batch 35/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:07 | DEBUG | 2/200 - batch 36/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:09 | DEBUG | 2/200 - batch 37/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:10 | DEBUG | 2/200 - batch 38/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:12 | DEBUG | 2/200 - batch 39/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:13 | DEBUG | 2/200 - batch 40/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:15 | DEBUG | 2/200 - batch 41/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:16 | DEBUG | 2/200 - batch 42/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:18 | DEBUG | 2/200 - batch 43/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:19 | DEBUG | 2/200 - batch 44/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:21 | DEBUG | 2/200 - batch 45/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:22 | DEBUG | 2/200 - batch 46/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:24 | DEBUG | 2/200 - batch 47/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:25 | DEBUG | 2/200 - batch 48/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:27 | DEBUG | 2/200 - batch 49/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:28 | DEBUG | 2/200 - batch 50/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:30 | DEBUG | 2/200 - batch 51/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:31 | DEBUG | 2/200 - batch 52/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:33 | DEBUG | 2/200 - batch 53/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:34 | DEBUG | 2/200 - batch 54/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:36 | DEBUG | 2/200 - batch 55/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:38 | DEBUG | 2/200 - batch 56/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:39 | DEBUG | 2/200 - batch 57/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:41 | DEBUG | 2/200 - batch 58/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:42 | DEBUG | 2/200 - batch 59/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:44 | DEBUG | 2/200 - batch 60/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:45 | DEBUG | 2/200 - batch 61/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:47 | DEBUG | 2/200 - batch 62/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:48 | DEBUG | 2/200 - batch 63/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:50 | DEBUG | 2/200 - batch 64/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:51 | DEBUG | 2/200 - batch 65/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:53 | DEBUG | 2/200 - batch 66/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:54 | DEBUG | 2/200 - batch 67/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:56 | DEBUG | 2/200 - batch 68/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:57 | DEBUG | 2/200 - batch 69/84 | VRAM: 26.54/47.53GB
2024-12-07 18:35:59 | DEBUG | 2/200 - batch 70/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:00 | DEBUG | 2/200 - batch 71/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:02 | DEBUG | 2/200 - batch 72/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:03 | DEBUG | 2/200 - batch 73/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:05 | DEBUG | 2/200 - batch 74/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:06 | DEBUG | 2/200 - batch 75/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:08 | DEBUG | 2/200 - batch 76/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:09 | DEBUG | 2/200 - batch 77/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:10 | DEBUG | 2/200 - batch 78/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:12 | DEBUG | 2/200 - batch 79/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:14 | DEBUG | 2/200 - batch 80/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:15 | DEBUG | 2/200 - batch 81/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:17 | DEBUG | 2/200 - batch 82/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:18 | DEBUG | 2/200 - batch 83/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:19 | DEBUG | 2/200 - batch 84/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:20 | INFO | 2/200 - loss 8.72e-01; PSNR 20.242; SSIM 0.374
2024-12-07 18:36:20 | DEBUG | 3/200 - batch 1/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:22 | DEBUG | 3/200 - batch 2/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:23 | DEBUG | 3/200 - batch 3/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:25 | DEBUG | 3/200 - batch 4/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:26 | DEBUG | 3/200 - batch 5/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:27 | DEBUG | 3/200 - batch 6/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:29 | DEBUG | 3/200 - batch 7/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:30 | DEBUG | 3/200 - batch 8/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:32 | DEBUG | 3/200 - batch 9/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:34 | DEBUG | 3/200 - batch 10/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:35 | DEBUG | 3/200 - batch 11/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:37 | DEBUG | 3/200 - batch 12/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:38 | DEBUG | 3/200 - batch 13/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:40 | DEBUG | 3/200 - batch 14/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:41 | DEBUG | 3/200 - batch 15/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:43 | DEBUG | 3/200 - batch 16/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:44 | DEBUG | 3/200 - batch 17/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:46 | DEBUG | 3/200 - batch 18/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:47 | DEBUG | 3/200 - batch 19/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:49 | DEBUG | 3/200 - batch 20/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:50 | DEBUG | 3/200 - batch 21/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:52 | DEBUG | 3/200 - batch 22/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:53 | DEBUG | 3/200 - batch 23/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:55 | DEBUG | 3/200 - batch 24/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:56 | DEBUG | 3/200 - batch 25/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:58 | DEBUG | 3/200 - batch 26/84 | VRAM: 26.54/47.53GB
2024-12-07 18:36:59 | DEBUG | 3/200 - batch 27/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:01 | DEBUG | 3/200 - batch 28/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:02 | DEBUG | 3/200 - batch 29/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:04 | DEBUG | 3/200 - batch 30/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:05 | DEBUG | 3/200 - batch 31/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:07 | DEBUG | 3/200 - batch 32/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:08 | DEBUG | 3/200 - batch 33/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:10 | DEBUG | 3/200 - batch 34/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:11 | DEBUG | 3/200 - batch 35/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:13 | DEBUG | 3/200 - batch 36/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:14 | DEBUG | 3/200 - batch 37/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:16 | DEBUG | 3/200 - batch 38/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:17 | DEBUG | 3/200 - batch 39/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:19 | DEBUG | 3/200 - batch 40/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:20 | DEBUG | 3/200 - batch 41/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:22 | DEBUG | 3/200 - batch 42/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:23 | DEBUG | 3/200 - batch 43/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:25 | DEBUG | 3/200 - batch 44/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:27 | DEBUG | 3/200 - batch 45/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:28 | DEBUG | 3/200 - batch 46/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:30 | DEBUG | 3/200 - batch 47/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:31 | DEBUG | 3/200 - batch 48/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:33 | DEBUG | 3/200 - batch 49/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:34 | DEBUG | 3/200 - batch 50/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:36 | DEBUG | 3/200 - batch 51/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:37 | DEBUG | 3/200 - batch 52/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:39 | DEBUG | 3/200 - batch 53/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:40 | DEBUG | 3/200 - batch 54/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:42 | DEBUG | 3/200 - batch 55/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:43 | DEBUG | 3/200 - batch 56/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:45 | DEBUG | 3/200 - batch 57/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:46 | DEBUG | 3/200 - batch 58/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:48 | DEBUG | 3/200 - batch 59/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:49 | DEBUG | 3/200 - batch 60/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:51 | DEBUG | 3/200 - batch 61/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:52 | DEBUG | 3/200 - batch 62/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:54 | DEBUG | 3/200 - batch 63/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:55 | DEBUG | 3/200 - batch 64/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:57 | DEBUG | 3/200 - batch 65/84 | VRAM: 26.54/47.53GB
2024-12-07 18:37:58 | DEBUG | 3/200 - batch 66/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:00 | DEBUG | 3/200 - batch 67/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:01 | DEBUG | 3/200 - batch 68/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:03 | DEBUG | 3/200 - batch 69/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:04 | DEBUG | 3/200 - batch 70/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:06 | DEBUG | 3/200 - batch 71/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:07 | DEBUG | 3/200 - batch 72/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:09 | DEBUG | 3/200 - batch 73/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:10 | DEBUG | 3/200 - batch 74/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:12 | DEBUG | 3/200 - batch 75/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:13 | DEBUG | 3/200 - batch 76/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:15 | DEBUG | 3/200 - batch 77/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:16 | DEBUG | 3/200 - batch 78/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:18 | DEBUG | 3/200 - batch 79/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:19 | DEBUG | 3/200 - batch 80/84 | VRAM: 26.54/47.53GB
2024-12-07 18:38:21 | DEBUG | 3/200 - batch 81/84 | VRAM: 26.54/47.53GB
