2024-11-24 08:27:08 | INFO | Saving logs to outputs/lpdUnet2D_2/20241124_0827_logs.log...
2024-11-24 08:27:08 | INFO | LPD_Unet2D model loaded successfully!
2024-11-24 08:27:09 | INFO | lpdUnet2D_2 - number of parameters: 12,862,278
2024-11-24 08:27:09 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.31/47.53GB
2024-11-24 08:27:15 | DEBUG | 1/200 - batch 2/84 | VRAM: 4.11/47.53GB
2024-11-24 08:27:16 | DEBUG | 1/200 - batch 3/84 | VRAM: 26.11/47.53GB
2024-11-24 08:27:18 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.11/47.53GB
2024-11-24 08:27:19 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:21 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:22 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:24 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:25 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:27 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:28 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:30 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:31 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:33 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:34 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:36 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:37 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:39 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:41 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:42 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:44 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:45 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:47 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:48 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:50 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:51 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:52 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:54 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:55 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:57 | DEBUG | 1/200 - batch 30/84 | VRAM: 26.14/47.53GB
2024-11-24 08:27:58 | DEBUG | 1/200 - batch 31/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:00 | DEBUG | 1/200 - batch 32/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:01 | DEBUG | 1/200 - batch 33/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:03 | DEBUG | 1/200 - batch 34/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:05 | DEBUG | 1/200 - batch 35/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:06 | DEBUG | 1/200 - batch 36/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:08 | DEBUG | 1/200 - batch 37/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:09 | DEBUG | 1/200 - batch 38/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:10 | DEBUG | 1/200 - batch 39/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:12 | DEBUG | 1/200 - batch 40/84 | VRAM: 26.14/47.53GB
2024-11-24 08:28:14 | DEBUG | 1/200 - batch 41/84 | VRAM: 26.14/47.53GB
