2024-11-30 08:49:32 | INFO | Saving logs to outputs/lpdUnet2D_2/20241130_0849_logs.log...
2024-11-30 08:49:33 | INFO | LPD_Unet2D model loaded successfully!
2024-11-30 08:49:33 | INFO | lpdUnet2D_2 - number of parameters: 12,862,278
2024-11-30 08:49:34 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.21/47.53GB
2024-11-30 08:49:40 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.91/47.53GB
2024-11-30 08:49:42 | DEBUG | 1/200 - batch 3/84 | VRAM: 26.09/47.53GB
2024-11-30 08:49:43 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:45 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:47 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:48 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:50 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:51 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:53 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:54 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:56 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:57 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.13/47.53GB
2024-11-30 08:49:59 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:00 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:02 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:03 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:05 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:07 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:08 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:10 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:11 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:13 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:15 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:16 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:18 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:19 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:21 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:22 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:24 | DEBUG | 1/200 - batch 30/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:25 | DEBUG | 1/200 - batch 31/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:26 | DEBUG | 1/200 - batch 32/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:28 | DEBUG | 1/200 - batch 33/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:30 | DEBUG | 1/200 - batch 34/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:31 | DEBUG | 1/200 - batch 35/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:33 | DEBUG | 1/200 - batch 36/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:34 | DEBUG | 1/200 - batch 37/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:36 | DEBUG | 1/200 - batch 38/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:37 | DEBUG | 1/200 - batch 39/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:39 | DEBUG | 1/200 - batch 40/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:40 | DEBUG | 1/200 - batch 41/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:42 | DEBUG | 1/200 - batch 42/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:44 | DEBUG | 1/200 - batch 43/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:45 | DEBUG | 1/200 - batch 44/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:47 | DEBUG | 1/200 - batch 45/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:48 | DEBUG | 1/200 - batch 46/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:50 | DEBUG | 1/200 - batch 47/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:51 | DEBUG | 1/200 - batch 48/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:53 | DEBUG | 1/200 - batch 49/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:54 | DEBUG | 1/200 - batch 50/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:56 | DEBUG | 1/200 - batch 51/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:57 | DEBUG | 1/200 - batch 52/84 | VRAM: 26.13/47.53GB
2024-11-30 08:50:58 | DEBUG | 1/200 - batch 53/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:00 | DEBUG | 1/200 - batch 54/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:02 | DEBUG | 1/200 - batch 55/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:03 | DEBUG | 1/200 - batch 56/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:04 | DEBUG | 1/200 - batch 57/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:06 | DEBUG | 1/200 - batch 58/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:07 | DEBUG | 1/200 - batch 59/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:09 | DEBUG | 1/200 - batch 60/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:10 | DEBUG | 1/200 - batch 61/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:12 | DEBUG | 1/200 - batch 62/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:14 | DEBUG | 1/200 - batch 63/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:15 | DEBUG | 1/200 - batch 64/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:17 | DEBUG | 1/200 - batch 65/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:18 | DEBUG | 1/200 - batch 66/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:20 | DEBUG | 1/200 - batch 67/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:21 | DEBUG | 1/200 - batch 68/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:23 | DEBUG | 1/200 - batch 69/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:24 | DEBUG | 1/200 - batch 70/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:26 | DEBUG | 1/200 - batch 71/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:27 | DEBUG | 1/200 - batch 72/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:29 | DEBUG | 1/200 - batch 73/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:31 | DEBUG | 1/200 - batch 74/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:32 | DEBUG | 1/200 - batch 75/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:34 | DEBUG | 1/200 - batch 76/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:35 | DEBUG | 1/200 - batch 77/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:37 | DEBUG | 1/200 - batch 78/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:38 | DEBUG | 1/200 - batch 79/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:40 | DEBUG | 1/200 - batch 80/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:41 | DEBUG | 1/200 - batch 81/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:43 | DEBUG | 1/200 - batch 82/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:44 | DEBUG | 1/200 - batch 83/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:45 | DEBUG | 1/200 - batch 84/84 | VRAM: 26.13/47.53GB
2024-11-30 08:51:48 | INFO | 1/200 - loss 1.15e-01; PSNR 13.647; SSIM 0.542
2024-11-30 08:51:48 | DEBUG | 2/200 - batch 1/84 | VRAM: 2.32/47.53GB
2024-11-30 08:51:50 | DEBUG | 2/200 - batch 2/84 | VRAM: 26.14/47.53GB
2024-11-30 08:51:51 | DEBUG | 2/200 - batch 3/84 | VRAM: 26.63/47.53GB
2024-11-30 08:51:53 | DEBUG | 2/200 - batch 4/84 | VRAM: 26.63/47.53GB
