2024-12-07 11:29:35 | INFO | Saving logs to outputs/lpdUnet2D_2/20241207_1129_logs.log...
2024-12-07 11:29:36 | INFO | LPD_Unet2D model loaded successfully!
2024-12-07 11:29:36 | INFO | lpdUnet2D_2 - number of parameters: 12,862,278
2024-12-07 11:29:37 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.16/47.53GB
2024-12-07 11:29:44 | DEBUG | 1/200 - batch 2/84 | VRAM: 4.38/47.53GB
2024-12-07 11:29:45 | DEBUG | 1/200 - batch 3/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:47 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:48 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:50 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:51 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:53 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:54 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:56 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:57 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.24/47.53GB
2024-12-07 11:29:59 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.24/47.53GB
2024-12-07 11:30:00 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.24/47.53GB
2024-12-07 11:30:02 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.24/47.53GB
2024-12-07 11:30:03 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.24/47.53GB
2024-12-07 11:30:04 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.24/47.53GB
2024-12-07 11:30:06 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.24/47.53GB
2024-12-07 11:30:07 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.24/47.53GB
2024-12-07 11:30:09 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.24/47.53GB
