2024-12-06 00:27:00 | INFO | Saving logs to outputs/lpdUnet2D_1/20241206_0027_logs.log...
2024-12-06 00:27:00 | INFO | LPD_Unet2D model loaded successfully!
2024-12-06 00:27:01 | INFO | lpdUnet2D_1 - number of parameters: 12,862,278
2024-12-06 00:27:01 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.24/47.53GB
2024-12-06 00:27:07 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.97/47.53GB
2024-12-06 00:27:09 | DEBUG | 1/200 - batch 3/84 | VRAM: 26.15/47.53GB
2024-12-06 00:27:10 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.15/47.53GB
2024-12-06 00:27:12 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:13 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:15 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:17 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:18 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:20 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:21 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:23 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:24 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:26 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:27 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:29 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:31 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:32 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:34 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:36 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:37 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:39 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:40 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:42 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:43 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:45 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:47 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:48 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:50 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:52 | DEBUG | 1/200 - batch 30/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:53 | DEBUG | 1/200 - batch 31/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:55 | DEBUG | 1/200 - batch 32/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:56 | DEBUG | 1/200 - batch 33/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:58 | DEBUG | 1/200 - batch 34/84 | VRAM: 26.19/47.53GB
2024-12-06 00:27:59 | DEBUG | 1/200 - batch 35/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:01 | DEBUG | 1/200 - batch 36/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:03 | DEBUG | 1/200 - batch 37/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:04 | DEBUG | 1/200 - batch 38/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:06 | DEBUG | 1/200 - batch 39/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:08 | DEBUG | 1/200 - batch 40/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:09 | DEBUG | 1/200 - batch 41/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:11 | DEBUG | 1/200 - batch 42/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:12 | DEBUG | 1/200 - batch 43/84 | VRAM: 26.19/47.53GB
2024-12-06 00:28:14 | DEBUG | 1/200 - batch 44/84 | VRAM: 26.19/47.53GB
