2024-12-08 19:37:31 | INFO | Saving logs to outputs/crossSinogramLpdUnet2D_1/20241208_1937_logs.log...
2024-12-08 19:37:32 | INFO | Cross_Sinogram_LPD_Unet2D model loaded successfully!
2024-12-08 19:37:32 | INFO | crossSinogramLpdUnet2D_1 - number of parameters: 22,459,858
2024-12-08 19:37:32 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.24/47.53GB
2024-12-08 19:37:40 | DEBUG | 1/200 - batch 2/84 | VRAM: 5.27/47.53GB
2024-12-08 19:37:42 | DEBUG | 1/200 - batch 3/84 | VRAM: 32.10/47.53GB
2024-12-08 19:37:45 | DEBUG | 1/200 - batch 4/84 | VRAM: 32.79/47.53GB
2024-12-08 19:37:47 | DEBUG | 1/200 - batch 5/84 | VRAM: 32.79/47.53GB
2024-12-08 19:37:49 | DEBUG | 1/200 - batch 6/84 | VRAM: 32.79/47.53GB
2024-12-08 19:37:51 | DEBUG | 1/200 - batch 7/84 | VRAM: 32.79/47.53GB
2024-12-08 19:37:54 | DEBUG | 1/200 - batch 8/84 | VRAM: 32.79/47.53GB
2024-12-08 19:37:56 | DEBUG | 1/200 - batch 9/84 | VRAM: 32.79/47.53GB
2024-12-08 19:37:58 | DEBUG | 1/200 - batch 10/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:00 | DEBUG | 1/200 - batch 11/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:02 | DEBUG | 1/200 - batch 12/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:05 | DEBUG | 1/200 - batch 13/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:07 | DEBUG | 1/200 - batch 14/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:09 | DEBUG | 1/200 - batch 15/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:11 | DEBUG | 1/200 - batch 16/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:13 | DEBUG | 1/200 - batch 17/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:15 | DEBUG | 1/200 - batch 18/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:18 | DEBUG | 1/200 - batch 19/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:20 | DEBUG | 1/200 - batch 20/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:22 | DEBUG | 1/200 - batch 21/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:24 | DEBUG | 1/200 - batch 22/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:26 | DEBUG | 1/200 - batch 23/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:29 | DEBUG | 1/200 - batch 24/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:31 | DEBUG | 1/200 - batch 25/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:33 | DEBUG | 1/200 - batch 26/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:35 | DEBUG | 1/200 - batch 27/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:37 | DEBUG | 1/200 - batch 28/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:40 | DEBUG | 1/200 - batch 29/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:42 | DEBUG | 1/200 - batch 30/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:44 | DEBUG | 1/200 - batch 31/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:47 | DEBUG | 1/200 - batch 32/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:49 | DEBUG | 1/200 - batch 33/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:51 | DEBUG | 1/200 - batch 34/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:53 | DEBUG | 1/200 - batch 35/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:55 | DEBUG | 1/200 - batch 36/84 | VRAM: 32.85/47.53GB
2024-12-08 19:38:58 | DEBUG | 1/200 - batch 37/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:00 | DEBUG | 1/200 - batch 38/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:02 | DEBUG | 1/200 - batch 39/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:04 | DEBUG | 1/200 - batch 40/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:06 | DEBUG | 1/200 - batch 41/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:09 | DEBUG | 1/200 - batch 42/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:11 | DEBUG | 1/200 - batch 43/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:13 | DEBUG | 1/200 - batch 44/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:15 | DEBUG | 1/200 - batch 45/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:18 | DEBUG | 1/200 - batch 46/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:20 | DEBUG | 1/200 - batch 47/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:22 | DEBUG | 1/200 - batch 48/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:24 | DEBUG | 1/200 - batch 49/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:26 | DEBUG | 1/200 - batch 50/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:28 | DEBUG | 1/200 - batch 51/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:31 | DEBUG | 1/200 - batch 52/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:33 | DEBUG | 1/200 - batch 53/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:35 | DEBUG | 1/200 - batch 54/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:37 | DEBUG | 1/200 - batch 55/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:40 | DEBUG | 1/200 - batch 56/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:42 | DEBUG | 1/200 - batch 57/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:44 | DEBUG | 1/200 - batch 58/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:46 | DEBUG | 1/200 - batch 59/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:48 | DEBUG | 1/200 - batch 60/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:51 | DEBUG | 1/200 - batch 61/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:53 | DEBUG | 1/200 - batch 62/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:55 | DEBUG | 1/200 - batch 63/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:57 | DEBUG | 1/200 - batch 64/84 | VRAM: 32.85/47.53GB
2024-12-08 19:39:59 | DEBUG | 1/200 - batch 65/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:02 | DEBUG | 1/200 - batch 66/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:04 | DEBUG | 1/200 - batch 67/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:06 | DEBUG | 1/200 - batch 68/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:08 | DEBUG | 1/200 - batch 69/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:11 | DEBUG | 1/200 - batch 70/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:13 | DEBUG | 1/200 - batch 71/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:15 | DEBUG | 1/200 - batch 72/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:17 | DEBUG | 1/200 - batch 73/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:20 | DEBUG | 1/200 - batch 74/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:22 | DEBUG | 1/200 - batch 75/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:24 | DEBUG | 1/200 - batch 76/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:26 | DEBUG | 1/200 - batch 77/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:28 | DEBUG | 1/200 - batch 78/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:31 | DEBUG | 1/200 - batch 79/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:33 | DEBUG | 1/200 - batch 80/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:35 | DEBUG | 1/200 - batch 81/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:37 | DEBUG | 1/200 - batch 82/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:39 | DEBUG | 1/200 - batch 83/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:41 | DEBUG | 1/200 - batch 84/84 | VRAM: 32.85/47.53GB
2024-12-08 19:40:44 | INFO | 1/200 - loss 2.58e+00; PSNR 14.817; SSIM 0.114
2024-12-08 19:40:45 | DEBUG | 2/200 - batch 1/84 | VRAM: 2.46/47.53GB
2024-12-08 19:40:47 | DEBUG | 2/200 - batch 2/84 | VRAM: 32.14/47.53GB
2024-12-08 19:40:49 | DEBUG | 2/200 - batch 3/84 | VRAM: 32.65/47.53GB
2024-12-08 19:40:51 | DEBUG | 2/200 - batch 4/84 | VRAM: 33.51/47.53GB
2024-12-08 19:40:53 | DEBUG | 2/200 - batch 5/84 | VRAM: 33.51/47.53GB
2024-12-08 19:40:56 | DEBUG | 2/200 - batch 6/84 | VRAM: 33.51/47.53GB
2024-12-08 19:40:58 | DEBUG | 2/200 - batch 7/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:00 | DEBUG | 2/200 - batch 8/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:02 | DEBUG | 2/200 - batch 9/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:04 | DEBUG | 2/200 - batch 10/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:07 | DEBUG | 2/200 - batch 11/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:09 | DEBUG | 2/200 - batch 12/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:11 | DEBUG | 2/200 - batch 13/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:13 | DEBUG | 2/200 - batch 14/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:15 | DEBUG | 2/200 - batch 15/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:17 | DEBUG | 2/200 - batch 16/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:20 | DEBUG | 2/200 - batch 17/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:22 | DEBUG | 2/200 - batch 18/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:24 | DEBUG | 2/200 - batch 19/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:26 | DEBUG | 2/200 - batch 20/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:28 | DEBUG | 2/200 - batch 21/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:31 | DEBUG | 2/200 - batch 22/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:33 | DEBUG | 2/200 - batch 23/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:35 | DEBUG | 2/200 - batch 24/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:37 | DEBUG | 2/200 - batch 25/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:39 | DEBUG | 2/200 - batch 26/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:42 | DEBUG | 2/200 - batch 27/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:44 | DEBUG | 2/200 - batch 28/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:46 | DEBUG | 2/200 - batch 29/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:48 | DEBUG | 2/200 - batch 30/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:50 | DEBUG | 2/200 - batch 31/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:53 | DEBUG | 2/200 - batch 32/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:55 | DEBUG | 2/200 - batch 33/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:57 | DEBUG | 2/200 - batch 34/84 | VRAM: 33.51/47.53GB
2024-12-08 19:41:59 | DEBUG | 2/200 - batch 35/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:02 | DEBUG | 2/200 - batch 36/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:04 | DEBUG | 2/200 - batch 37/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:06 | DEBUG | 2/200 - batch 38/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:08 | DEBUG | 2/200 - batch 39/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:10 | DEBUG | 2/200 - batch 40/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:13 | DEBUG | 2/200 - batch 41/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:15 | DEBUG | 2/200 - batch 42/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:17 | DEBUG | 2/200 - batch 43/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:19 | DEBUG | 2/200 - batch 44/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:22 | DEBUG | 2/200 - batch 45/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:24 | DEBUG | 2/200 - batch 46/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:26 | DEBUG | 2/200 - batch 47/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:28 | DEBUG | 2/200 - batch 48/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:30 | DEBUG | 2/200 - batch 49/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:33 | DEBUG | 2/200 - batch 50/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:35 | DEBUG | 2/200 - batch 51/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:37 | DEBUG | 2/200 - batch 52/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:39 | DEBUG | 2/200 - batch 53/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:42 | DEBUG | 2/200 - batch 54/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:44 | DEBUG | 2/200 - batch 55/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:46 | DEBUG | 2/200 - batch 56/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:48 | DEBUG | 2/200 - batch 57/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:50 | DEBUG | 2/200 - batch 58/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:53 | DEBUG | 2/200 - batch 59/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:55 | DEBUG | 2/200 - batch 60/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:57 | DEBUG | 2/200 - batch 61/84 | VRAM: 33.51/47.53GB
2024-12-08 19:42:59 | DEBUG | 2/200 - batch 62/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:01 | DEBUG | 2/200 - batch 63/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:04 | DEBUG | 2/200 - batch 64/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:06 | DEBUG | 2/200 - batch 65/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:08 | DEBUG | 2/200 - batch 66/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:10 | DEBUG | 2/200 - batch 67/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:12 | DEBUG | 2/200 - batch 68/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:14 | DEBUG | 2/200 - batch 69/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:17 | DEBUG | 2/200 - batch 70/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:19 | DEBUG | 2/200 - batch 71/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:21 | DEBUG | 2/200 - batch 72/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:23 | DEBUG | 2/200 - batch 73/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:25 | DEBUG | 2/200 - batch 74/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:27 | DEBUG | 2/200 - batch 75/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:30 | DEBUG | 2/200 - batch 76/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:32 | DEBUG | 2/200 - batch 77/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:34 | DEBUG | 2/200 - batch 78/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:36 | DEBUG | 2/200 - batch 79/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:39 | DEBUG | 2/200 - batch 80/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:41 | DEBUG | 2/200 - batch 81/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:43 | DEBUG | 2/200 - batch 82/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:45 | DEBUG | 2/200 - batch 83/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:47 | DEBUG | 2/200 - batch 84/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:48 | INFO | 2/200 - loss 7.92e-01; PSNR 20.724; SSIM 0.484
2024-12-08 19:43:48 | DEBUG | 3/200 - batch 1/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:51 | DEBUG | 3/200 - batch 2/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:53 | DEBUG | 3/200 - batch 3/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:55 | DEBUG | 3/200 - batch 4/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:57 | DEBUG | 3/200 - batch 5/84 | VRAM: 33.51/47.53GB
2024-12-08 19:43:59 | DEBUG | 3/200 - batch 6/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:02 | DEBUG | 3/200 - batch 7/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:04 | DEBUG | 3/200 - batch 8/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:06 | DEBUG | 3/200 - batch 9/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:08 | DEBUG | 3/200 - batch 10/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:11 | DEBUG | 3/200 - batch 11/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:13 | DEBUG | 3/200 - batch 12/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:15 | DEBUG | 3/200 - batch 13/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:17 | DEBUG | 3/200 - batch 14/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:20 | DEBUG | 3/200 - batch 15/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:22 | DEBUG | 3/200 - batch 16/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:24 | DEBUG | 3/200 - batch 17/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:26 | DEBUG | 3/200 - batch 18/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:28 | DEBUG | 3/200 - batch 19/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:31 | DEBUG | 3/200 - batch 20/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:33 | DEBUG | 3/200 - batch 21/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:35 | DEBUG | 3/200 - batch 22/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:37 | DEBUG | 3/200 - batch 23/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:39 | DEBUG | 3/200 - batch 24/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:42 | DEBUG | 3/200 - batch 25/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:44 | DEBUG | 3/200 - batch 26/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:46 | DEBUG | 3/200 - batch 27/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:48 | DEBUG | 3/200 - batch 28/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:50 | DEBUG | 3/200 - batch 29/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:53 | DEBUG | 3/200 - batch 30/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:55 | DEBUG | 3/200 - batch 31/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:57 | DEBUG | 3/200 - batch 32/84 | VRAM: 33.51/47.53GB
2024-12-08 19:44:59 | DEBUG | 3/200 - batch 33/84 | VRAM: 33.51/47.53GB
