2024-12-07 10:36:24 | INFO | Saving logs to outputs/crossSinogramLpdUnet2D_1/20241207_1036_logs.log...
2024-12-07 10:36:26 | INFO | Cross_Sinogram_LPD_Unet2D model loaded successfully!
2024-12-07 10:36:26 | INFO | crossSinogramLpdUnet2D_1 - number of parameters: 22,459,858
2024-12-07 10:36:26 | DEBUG | 1/200 - batch 1/84 | VRAM: 3.68/47.53GB
2024-12-07 10:36:33 | DEBUG | 1/200 - batch 2/84 | VRAM: 8.17/47.53GB
2024-12-07 10:36:35 | DEBUG | 1/200 - batch 3/84 | VRAM: 34.53/47.53GB
2024-12-07 10:36:37 | DEBUG | 1/200 - batch 4/84 | VRAM: 35.26/47.53GB
2024-12-07 10:36:39 | DEBUG | 1/200 - batch 5/84 | VRAM: 35.26/47.53GB
2024-12-07 10:36:41 | DEBUG | 1/200 - batch 6/84 | VRAM: 35.26/47.53GB
2024-12-07 10:36:43 | DEBUG | 1/200 - batch 7/84 | VRAM: 35.26/47.53GB
2024-12-07 10:36:45 | DEBUG | 1/200 - batch 8/84 | VRAM: 35.26/47.53GB
2024-12-07 10:36:47 | DEBUG | 1/200 - batch 9/84 | VRAM: 35.26/47.53GB
2024-12-07 10:36:49 | DEBUG | 1/200 - batch 10/84 | VRAM: 35.32/47.53GB
2024-12-07 10:36:51 | DEBUG | 1/200 - batch 11/84 | VRAM: 35.32/47.53GB
2024-12-07 10:36:53 | DEBUG | 1/200 - batch 12/84 | VRAM: 35.32/47.53GB
2024-12-07 10:36:55 | DEBUG | 1/200 - batch 13/84 | VRAM: 35.32/47.53GB
2024-12-07 10:36:57 | DEBUG | 1/200 - batch 14/84 | VRAM: 35.32/47.53GB
2024-12-07 10:36:59 | DEBUG | 1/200 - batch 15/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:01 | DEBUG | 1/200 - batch 16/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:03 | DEBUG | 1/200 - batch 17/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:05 | DEBUG | 1/200 - batch 18/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:07 | DEBUG | 1/200 - batch 19/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:09 | DEBUG | 1/200 - batch 20/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:11 | DEBUG | 1/200 - batch 21/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:13 | DEBUG | 1/200 - batch 22/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:15 | DEBUG | 1/200 - batch 23/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:17 | DEBUG | 1/200 - batch 24/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:19 | DEBUG | 1/200 - batch 25/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:21 | DEBUG | 1/200 - batch 26/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:23 | DEBUG | 1/200 - batch 27/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:25 | DEBUG | 1/200 - batch 28/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:27 | DEBUG | 1/200 - batch 29/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:29 | DEBUG | 1/200 - batch 30/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:31 | DEBUG | 1/200 - batch 31/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:33 | DEBUG | 1/200 - batch 32/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:35 | DEBUG | 1/200 - batch 33/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:37 | DEBUG | 1/200 - batch 34/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:39 | DEBUG | 1/200 - batch 35/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:41 | DEBUG | 1/200 - batch 36/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:43 | DEBUG | 1/200 - batch 37/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:45 | DEBUG | 1/200 - batch 38/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:48 | DEBUG | 1/200 - batch 39/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:50 | DEBUG | 1/200 - batch 40/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:52 | DEBUG | 1/200 - batch 41/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:54 | DEBUG | 1/200 - batch 42/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:56 | DEBUG | 1/200 - batch 43/84 | VRAM: 35.32/47.53GB
2024-12-07 10:37:58 | DEBUG | 1/200 - batch 44/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:00 | DEBUG | 1/200 - batch 45/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:02 | DEBUG | 1/200 - batch 46/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:04 | DEBUG | 1/200 - batch 47/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:06 | DEBUG | 1/200 - batch 48/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:08 | DEBUG | 1/200 - batch 49/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:10 | DEBUG | 1/200 - batch 50/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:12 | DEBUG | 1/200 - batch 51/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:14 | DEBUG | 1/200 - batch 52/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:16 | DEBUG | 1/200 - batch 53/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:18 | DEBUG | 1/200 - batch 54/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:20 | DEBUG | 1/200 - batch 55/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:22 | DEBUG | 1/200 - batch 56/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:24 | DEBUG | 1/200 - batch 57/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:26 | DEBUG | 1/200 - batch 58/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:28 | DEBUG | 1/200 - batch 59/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:30 | DEBUG | 1/200 - batch 60/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:32 | DEBUG | 1/200 - batch 61/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:34 | DEBUG | 1/200 - batch 62/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:36 | DEBUG | 1/200 - batch 63/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:38 | DEBUG | 1/200 - batch 64/84 | VRAM: 35.32/47.53GB
2024-12-07 10:38:40 | DEBUG | 1/200 - batch 65/84 | VRAM: 35.32/47.53GB
